""	"output_series_d18O"	"output_series_d13C"
-29.7	2.1923826587	0.4578712793
-29.6	2.2698980765	0.4268668471
-29.5	2.3766585206	0.5436927397
-29.4	1.9998903122	0.2336704177
-29.3	2.4793061942	0.3650305991
-29.2	2.3249605794	0.3196342737
-29.1	2.3288572862	0.3366751584
-29	2.3330454443	0.4606875657
-28.9	2.4535451124	0.3882146407
-28.8	2.424498343	0.2764687305
-28.7	2.3216818518	0.1239005843
-28.6	2.2727271957	0.1972434452
-28.5	2.2646642949	0.0791740037
-28.4	2.3359615015	0.339368396
-28.3	2.539357059	0.450414939
-28.2	2.0722392782	0.1670308775
-28.1	2.1786272372	0.1003743081
-28	2.3631552278	0.2493977253
-27.9	2.3663201782	0.4300621801
-27.8	2.6068436713	0.529220005
-27.7	2.6270061167	0.2810734685
-27.6	2.5019047538	0.4464711381
-27.5	2.5044181931	0.6360389196
-27.4	2.5450191694	0.4262758934
-27.3	2.6087452597	0.4357178495
-27.2	2.3116251852	0.2596611016
-27.1	2.576173426	0.5045159136
-27	2.6229482462	0.4789307903
-26.9	2.6524295484	0.4977174967
-26.8	2.5749721317	0.6045781359
-26.7	2.2914953025	0.4673800275
-26.6	2.5545456321	0.3822926777
-26.5	2.3928129802	0.3360557253
-26.4	2.4751843483	0.4799774463
-26.3	2.3335434148	0.6788654197
-26.2	2.4962550581	0.4741830612
-26.1	2.4438048447	0.4630468387
-26	2.3050813607	0.5332857351
-25.9	2.4368566902	0.6991177041
-25.8	2.2475443598	0.6463967014
-25.7	2.3132962557	0.6135189098
-25.6	2.4239541577	0.7234755495
-25.5	2.2809170092	0.5752222871
-25.4	2.2595275003	0.3592788684
-25.3	2.2845006437	0.4447874405
-25.2	2.3048894385	0.4936748574
-25.1	2.1873871579	0.4270341381
-25	2.287117239	0.3359268235
-24.9	2.1379226634	0.2504712437
-24.8	2.2600276835	0.5435899645
-24.7	2.2215144931	0.626883328
-24.6	2.01642992	0.3556035416
-24.5	2.2818563459	0.5491578417
-24.4	2.1973938415	0.6903022248
-24.3	2.194515818	0.7734353172
-24.2	2.0947051985	0.4492184493
-24.1	2.0896099998	0.4814179088
-24	1.9704114211	0.4383198845
-23.9	2.0991519064	0.700710332
-23.8	1.9942448884	0.4936977959
-23.7	2.0772419879	0.437949706
-23.6	2.3789911962	0.8315706476
-23.5	2.2363388201	0.9323277299
-23.4	2.1277260523	0.8069078784
-23.3	2.166596362	0.5281316746
-23.2	2.495677078	1.0096262283
-23.1	2.6713134067	1.0290875169
-23	2.2494728668	1.0007987324
-22.9	2.0876078012	0.9026778893
-22.8	1.9784533892	0.8668496926
-22.7	2.1479813149	0.9754126184
-22.6	2.3726536164	0.9777291728
-22.5	2.2385136662	0.9182475748
-22.4	2.2339916589	1.0183305381
-22.3	2.411402528	1.1584995959
-22.2	2.2412466977	1.0882884575
-22.1	2.1807684166	1.0075989205
-22	2.178241839	0.8561847259
-21.9	2.3342560927	1.1513175628
-21.8	2.2005541514	1.0049318264
-21.7	2.081283756	0.6641744452
-21.6	2.2912489431	0.4464604203
-21.5	2.3114104269	0.5278325645
-21.4	2.3421005572	0.7129111958
-21.3	1.8812785125	0.5363583806
-21.2	2.5558767112	0.5850759581
-21.1	2.3314514803	0.8378160775
-21	2.4142945652	0.753216578
-20.9	2.1396654287	0.5587407837
-20.8	2.0018832313	0.4521399086
-20.7	2.2608014209	0.7108035623
-20.6	2.3822384522	0.7688009175
-20.5	2.2801949639	0.7107674286
-20.4	2.0276078842	0.4365247045
-20.3	2.0109232818	0.538518292
-20.2	2.3624796209	0.6450810108
-20.1	2.1465202771	0.713145403
-20	2.2659311786	0.4607820468
-19.9	2.5054791291	0.5929107484
-19.8	2.6410950995	0.7693235043
-19.7	2.2341246064	0.540802426
-19.6	2.5101484379	0.7656469082
-19.5	2.6226037226	0.8588373552
-19.4	2.6709479081	0.8200058082
-19.3	2.248948396	0.7842851196
-19.2	2.2525136195	0.6656549312
-19.1	2.3577557279	0.7541173506
-19	2.4288162046	0.7940656169
-18.9	2.3961321738	0.7251104933
-18.8	2.050885148	0.4733786606
-18.7	2.3313314417	0.5266515591
-18.6	2.3761717833	0.6254030588
-18.5	2.3440400881	0.5944531062
-18.4	2.4825565809	0.5163102069
-18.3	2.3413754052	0.6724233059
-18.2	2.2506236784	0.5013682648
-18.1	2.2851607013	0.5517379839
-18	2.3838209076	0.5430621738
-17.9	2.4778723795	0.6341652569
-17.8	2.0732728715	0.5392268894
-17.7	2.0746473442	0.5004907719
-17.6	2.2971018819	0.5433061194
-17.5	2.0772633373	0.5535905182
-17.4	2.0189591857	0.4761782749
-17.3	1.8236505454	0.5251550259
-17.2	2.1517482797	0.7717833222
-17.1	1.9399268301	0.6666016049
-17	2.2502155018	0.7748196191
-16.9	1.7007651939	0.6361958289
-16.8	1.8718236618	0.7201405572
-16.7	2.0974639366	0.9356073241
-16.6	1.9025265506	1.2704970534
-16.5	1.7268579157	1.1098506951
-16.4	1.8156063975	1.0599954022
-16.3	2.0370485593	1.0736542381
-16.2	1.8179214371	1.1941276989
-16.1	2.0318686681	1.6354666899
-16	1.4831390104	1.0709186846
-15.9	2.1564887585	1.5398224688
-15.8	2.0864162653	1.4203096765
-15.7	1.9772395091	1.3598048911
-15.6	1.5828426614	0.9806715506
-15.5	1.8810201833	1.397415487
-15.4	2.288696689	1.5743572445
-15.3	1.924099666	1.3828952987
-15.2	1.6220156544	1.0668171662
-15.1	1.7806392885	1.0407640783
-15	2.0962853492	1.3623888792
-14.9	2.185595247	1.2990945679
-14.8	2.0816611438	1.1837521992
-14.7	2.1030818414	1.2782692937
-14.6	2.059313034	1.445093304
-14.5	1.9563120255	1.296649304
-14.4	2.3237984075	1.4245677579
-14.3	2.0605366449	1.2516732691
-14.2	2.2716977348	1.2135772023
-14.1	2.1794596062	1.3379151154
-14	2.111567495	1.108050881
-13.9	1.8658615715	0.9929923413
-13.8	2.5871385032	1.2476786977
-13.7	2.596209976	1.5763998876
-13.6	2.6548859708	1.2018393107
-13.5	2.5139534437	0.8597292228
-13.4	2.7385700059	0.974912774
-13.3	2.8669934066	0.9604568251
-13.2	2.6667682734	0.9546756022
-13.1	2.6693307083	0.7316615259
-13	3.1402848609	0.7683512762
-12.9	3.0895121736	0.7495881852
-12.8	2.9018610022	0.6623072358
-12.7	2.9961718521	0.750152951
-12.6	2.8331048977	0.7026240746
-12.5	2.8897536985	0.7966835464
-12.4	2.906205596	0.5868081354
-12.3	3.0202544247	0.4027191433
-12.2	2.8204707242	0.5281699146
-12.1	2.7432679868	0.1869215529
-12	2.6611825165	0.3434105808
-11.9	3.1200848897	0.5735381177
-11.8	2.7286943804	0.6061532782
-11.7	3.0444567327	0.6836329338
-11.6	2.8297011864	0.9136606521
-11.5	2.9825701797	0.7629275984
-11.4	2.8399514694	0.3217490697
-11.3	2.9108406261	0.3192469344
-11.2	3.1438384026	0.4414340478
-11.1	3.087579957	0.455547693
-11	2.9409534187	0.5050411466
-10.9	2.9811945206	0.3449268868
-10.8	3.0521095504	0.0356204611
-10.7	2.5728944685	0.147309243
-10.6	2.8672054769	0.340145847
-10.5	2.9418116326	0.5427271885
-10.4	2.9148383236	0.7109074956
-10.3	2.8859771835	0.7448914041
-10.2	2.8451497255	0.5300854234
-10.1	3.0712871821	0.6347544852
-10	2.8361466228	0.5885829893
-9.9	3.1731560584	-8.05549e-05
-9.8	2.9499801906	0.4274353522
-9.7	3.1960673931	0.350294599
-9.6	2.7791363726	0.4044728173
-9.5	3.2257111293	0.2976896846
-9.4	2.9726131135	0.4299258432
-9.3	3.1742241153	0.4060386468
-9.2	3.1418353368	0.5883861832
-9.1	3.0522950639	0.5511893678
-9	3.0998515391	0.4724017555
-8.9	3.3021914317	0.8665234935
-8.8	3.2725794284	0.7263562447
-8.7	3.2790927627	0.6241935332
-8.6	3.4512942387	0.924952907
-8.5	3.1223252224	0.8494081223
-8.4	3.2316332501	0.6011921144
-8.3	3.1975126474	0.6401227134
-8.2	3.1997976315	0.7083792113
-8.1	3.1877443219	0.5301315291
-8	3.0469037814	0.2548331331
-7.9	3.2937576842	0.2163479765
-7.8	3.078382095	0.6570640085
-7.7	3.3332480798	0.7216453053
-7.6	2.9435451186	0.7933416118
-7.5	3.0746366585	0.3856658019
-7.4	2.9668664212	0.4693944897
-7.3	3.1655281528	0.2131379944
-7.2	3.0455096331	0.3801905624
-7.1	3.1837392303	0.2658270073
-7	3.0294788144	0.04976311
-6.9	3.1719089683	-0.2462865965
-6.8	3.2630831274	-0.1064914939
-6.7	3.1692781541	-0.3979533929
-6.6	3.2999516246	-0.1556580268
-6.5	3.3117622985	-0.2244461173
-6.4	3.3161514407	-0.265372728
-6.3	3.1249338151	-0.1757427817
-6.2	3.1482201872	-0.2712034186
-6.1	3.1210128897	-0.1450394896
-6	3.2989656834	-0.4029938604
-5.9	3.1375334693	-0.4526498323
-5.8	3.4114227468	-0.1811394368
-5.7	3.3184564264	0.0731067122
-5.6	3.3168042018	0.0343254159
-5.5	3.2348427449	0.0515991506
-5.4	3.0113093112	-0.0334780744
-5.3	3.2799714341	0.1354658341
-5.2	3.1714502818	-0.1125359529
